ED_DESC_FU,incumbent_perc
ALJUNIED GRC,40.32
ANG MO KIO GRC,78.95
BISHAN-TOA PAYOH GRC,75.21
BUKIT GOMBAK SMC,75.83
BUKIT PANJANG SMC,61.41
CHUA CHU KANG GRC,63.59
EAST COAST GRC,58.76
HOLLAND-BUKIT TIMAH GRC,79.29
HOUGANG SMC,37.83
JALAN BESAR GRC,75.21
JALAN KAYU SMC,51.47
JURONG CENTRAL SMC,80.51
JURONG EAST-BUKIT BATOK GRC,76.66
KEBUN BARU SMC,68.5
MARINE PARADE-BRADDELL HEIGHTS GRC,100
MARSILING-YEW TEE GRC,73.46
MARYMOUNT SMC,70.7
MOUNTBATTEN SMC,63.84
NEE SOON GRC,73.81
PASIR RIS-CHANGI GRC,67.66
PIONEER SMC,65.42
POTONG PASIR SMC,69.18
PUNGGOL GRC,55.17
QUEENSTOWN SMC,81.12
RADIN MAS SMC,69.17
SEMBAWANG GRC,67.75
SEMBAWANG WEST SMC,53.19
SENGKANG GRC,43.69
TAMPINES CHANGKAT SMC,56.17
TAMPINES GRC,52.02
TANJONG PAGAR GRC,81.03
WEST COAST-JURONG WEST GRC,60.01
YIO CHU KANG SMC,78.73
